,0
248,440.8011621218286
249,441.5674092806801
250,445.46816999113884
251,440.664070748105
252,432.79236207738364
253,434.77949383835625
254,429.6931864796627
255,432.1059611577784
256,428.7119617073097
257,427.7048648205598
258,427.6272878932246
259,429.3804426392188
260,430.43983211579695
261,428.0914819806166
262,424.52903072091846
263,424.0129955009321
264,419.2517380675604
265,418.3613097600873
266,412.24756373465624
267,407.68007480917424
268,405.9433131158748
269,404.7731788177233
270,404.77786295614334
271,405.45462702594904
272,401.44313565161036
273,401.9904213281799
274,398.85996632587137
275,400.3072059362999
276,390.3647666461421
277,392.34018504675646
278,390.95079508638844
279,393.09135234565866
280,391.82469030223905
281,392.6006875337586
282,380.9687062455084
283,383.42433020715947
284,379.50761615136594
285,380.31858460937815
286,382.26119287697696
287,376.2319286871015
288,376.35014043021005
289,376.71878420490424
290,379.7902236230608
291,374.6983004015643
292,376.42094010551426
293,372.43988798278315
294,373.4821114346503
295,369.61186642503856
296,363.2987769752348
297,360.58913495545175
298,359.8202627757847
299,357.9089747716193
300,353.96285851320283
301,355.8895262038967
302,355.3413191304362
303,354.8914451268948
304,352.93290695122454
305,352.104649130448
306,352.98055700836227
307,355.14075915757155
308,358.994722574491
309,357.6343118032439
310,345.89446531942446
311,342.0516067106371
312,343.4197173971605
313,340.56475538464474
314,338.3722238626947
315,336.9312509420451
316,337.8222314653824
317,333.8387205885403
318,337.64411491186144
319,337.582877607512
320,331.5293663933445
321,332.7793447012546
322,327.67583780606157
323,330.36129878267866
324,331.344988722432
325,324.29209874139434
326,324.85929283661704
327,323.4729002329311
328,315.4980072663369
329,313.33015210965124
330,317.39876986413327
331,313.9462317840545
332,313.41130765403256
333,314.8871449188855
334,308.82102239286377
335,304.61920807241256
336,303.50843743952026
337,305.12674008669654
338,304.74166913463205
339,305.15990148803525
340,304.98873947724593
341,302.1306620811264
342,302.0253226506179
343,302.5603136786226
344,301.019038038344
345,298.4536704530653
346,297.6683698945023
347,296.2905230980086
348,295.84821329467354
349,293.41755940595414
350,291.3971888058552
351,298.1489118346598
352,297.12169331837146
353,294.7256680158603
354,290.24516250153266
355,291.5892791722059
356,294.19233376957027
357,291.96411463192584
358,288.61721521577886
359,287.4763372864849
360,288.2987113990566
361,295.0143620773595
362,287.007360131502
363,282.5689758622594
364,285.17690692072654
365,283.88196356001464
366,284.0394573337914
367,280.5519621824324
368,282.9558316082514
369,284.0615948539687
370,280.2797782668338
371,279.2157621189985
372,280.7011697847335
373,277.8673499515785
374,274.6752232165359
375,280.50716184962107
376,272.86925697347505
377,273.0433667124972
378,274.6349932279342
379,271.8344427214223
380,270.6636515443403
381,270.36472563787237
382,276.35943751764455
383,274.8520499506464
384,272.82081738037516
385,266.55946206951467
386,269.47939862117096
387,273.35280839599164
388,265.4401745880722
389,265.17171904213103
390,263.9057260233751
391,260.91614010928004
392,259.97150316245535
393,257.2511183240751
394,256.67792239867447
395,253.29150265014113
396,252.4337524812641
397,257.395191375036
398,255.52981419706745
399,248.53778715532545
400,249.77685424879604
401,251.08480300010052
402,246.7847214453857
403,241.0257785182126
404,240.97546006832488
405,237.0408592550857
406,237.9928487937873
407,236.50335332228246
408,232.20243571800012
409,233.62270043876947
410,231.74059022632736
411,230.94847172186368
412,230.42280983360226
413,231.1995888223888
414,232.63296636015423
415,232.41194330098014
416,232.04549805843232
417,233.55848649573383
418,231.6429529777867
419,229.89623051378493
420,230.7259288705652
421,233.08796389640787
422,224.2946147333112
423,228.8217261602009
424,225.74040062894147
425,223.7854881626968
426,225.9365471516273
427,222.0292996083259
428,222.95689458708682
429,221.73395167998683
430,218.90376383838293
431,216.12713106258002
432,219.32706213537028
433,216.3428417209496
434,221.43938496379835
435,213.54392023999966
436,212.23096828946848
437,207.30028076724074
438,211.45719288644335
439,202.6856933763217
440,203.6000269105701
441,205.7130777911804
442,202.6607233452701
443,206.26186553538736
444,206.0032415542377
445,204.60053290443904
446,202.86819392181894
447,201.75519988844775
448,200.58927790449232
449,196.72376785622149
450,203.92688606854554
451,197.79731142100556
452,194.95359660524483
453,196.5379565412662
454,197.5813812911884
455,197.74557228260045
456,200.6690730203266
457,191.2579055604097
458,190.72761441062013
459,189.2810184411743
460,191.03465222343843
461,187.6132084453256
462,189.07228699377174
463,181.36463759992807
464,186.66259407237374
465,182.0028306391152
466,181.03579775725464
467,182.40061831336658
468,177.57823228271533
469,176.6970333109845
470,175.01689557541874
471,176.19514343325497
472,179.8477361817398
473,176.5424632629665
474,180.06724299675523
475,173.2964959430881
476,177.35692896789467
477,179.0223386105765
478,171.92817778162183
479,172.7843381482
480,168.20255025939937
481,166.91645724681516
482,171.4698701622854
483,172.480675778948
484,172.83393628457733
485,171.8404900874287
486,174.33499451585348
487,170.76823324457428
488,172.30259051449252
489,168.32084572779382
490,165.10440090696315
491,166.46699117151593
492,163.13656558537284
493,158.46029673988932
494,163.78974130744555
495,161.39884933990973
496,158.03371834798872
497,163.35266426843668
498,161.1229882659881
499,165.8090603955122
500,161.8981991743551
501,160.57902399281284
502,161.40069217896945
503,159.00108279163106
504,161.17488550451455
505,159.91797800177608
506,160.31969627935143
507,165.63852085201836
508,166.48208706426075
509,163.269786689713
510,162.19809405102598
511,153.90618639711911
512,159.19112557383582
513,155.46409299942712
514,153.42286156526052
515,152.76600703717833
516,154.95018631703192
517,160.7987162470491
518,162.57468199295403
519,163.22503466743473
520,166.58991152845965
521,165.33710110728117
522,161.56284596788743
523,159.33014274327542
524,157.86865343993256
525,159.55903581618875
526,154.00921651318922
527,161.43458100686786
528,161.5360065840432
529,161.48651010738388
530,161.7131725738949
531,157.84788211979821
532,156.6672869349112
533,156.75091997391445
534,153.44763960729856
535,156.0513797052376
536,155.0200328492413
537,152.87194048392246
538,158.10297994759574
539,157.5037430709863
540,161.31397104560548
541,160.07640060008143
542,154.70445790626795
543,155.69469060184244
544,162.21407113033206
545,160.66263835319393
546,157.6775666519001
547,154.9566134144664
548,154.0539713969614
549,155.2169430355833
550,157.68252692653755
551,155.7652311862009
552,153.15641387207268
553,159.60990241968412
554,158.93537591460876
555,158.14935428569564
556,151.96529793770492
557,154.9259611876621
558,154.5727510093225
559,156.65341480676196
560,156.25963596281534
561,150.60740239894653
562,156.24388189631662
563,156.1084785098869
564,156.86298921588198
565,152.60784153198014
566,156.85681470384364
567,155.43780179394065
568,152.87776603160407
569,154.41542458481908
570,154.8642661406129
571,150.9005389138719
572,154.57432733700455
573,156.27159117223113
574,151.44351823391085
575,151.9604113488157
576,153.7742787661857
577,149.9090103956441
578,151.4356482524873
579,147.91494727798204
580,150.1736621798264
581,148.97345811012806
582,153.89173235954826
583,149.52476160576384
584,146.14555022615085
585,147.05106849395762
586,145.80461777909514
587,146.4279826553952
588,148.96799316833824
589,147.56168375604827
590,146.9755412364061
591,147.0343863551726
592,149.42903029779458
593,152.08931321552996
594,144.74378864395962
595,145.91067576120585
596,146.84706320844907
597,146.30121589163684
598,144.78672931918635
599,145.388053554342
600,144.85522135591958
601,150.50335341669168
602,147.61952149042497
603,148.0432957401153
604,143.9671854722876
605,143.67310124589477
606,142.8513102423022
607,141.60624358429675
608,141.8063306291746
609,142.0063443218291
610,139.64928504543548
611,139.01420348413689
612,144.39532533585606
613,148.20885044536124
614,148.52871234193
615,136.7406399494366
616,135.89880683188645
617,134.73332174124863
618,138.8838072916288
619,142.55742203291172
620,140.99502802360158
621,144.38541448189716
622,138.4855950229682
623,137.58985491445677
624,135.35787973060243
625,136.64721318007324
626,137.35592743152617
627,136.18395868274604
628,139.56779326342655
629,131.57391487500448
630,133.91680934833428
631,134.50417720152973
632,132.3203408589488
633,131.49904108891462
634,134.91158343502255
635,136.20350389110342
636,136.48107575621978
637,134.68902972413966
638,132.73284466772586
639,135.820132866983
640,132.50961305698698
641,133.84058437600433
642,131.56335382094213
643,130.21068800235471
644,132.39952668550112
645,124.82783754385834
646,123.09876327826271
647,119.56971899244932
648,115.95985196007136
649,122.602569522997
650,117.79654723028013
651,117.81279358732498
652,122.25158820753141
653,119.83309694052305
654,122.97736830592423
655,122.62266568732535
656,121.76632880489007
657,118.69290016732288
658,113.90005037528154
659,119.54709820343655
660,120.83799339367187
661,122.61432710888681
662,123.29999512169087
663,117.92947639263147
664,118.64333645889553
665,120.0379253155301
666,114.41921982154297
667,115.38244059280139
668,116.49273948275011
669,117.51212907253162
670,123.3909761241396
671,124.6998561112036
672,120.32173905555807
673,115.42555197330547
674,117.1844105342098
675,115.46148929229544
676,118.18898750070231
677,117.39438404535811
678,117.82013050960163
679,119.89384639183496
680,116.85615565783675
681,111.94543655622097
682,118.65494966942234
683,126.3383541497517
684,126.72066369219519
685,120.47125285765885
686,120.71436818510665
687,120.48632023431111
688,120.38552479738934
689,119.70622638274892
690,117.05504725414615
691,119.84537319222915
692,118.04680435329703
693,115.42981766091039
694,119.03948172402454
695,123.69983379449555
696,113.53772315624627
697,119.26860318755364
698,118.5027594977967
699,114.55527493351268
700,108.67227053079284
701,111.61597771380254
702,111.52060626063353
703,114.97228854500213
704,115.2518909492543
705,113.99763184693774
706,113.97140012716646
707,116.12965344299919
708,112.25636508243207
709,113.93326329462766
710,111.28579023266623
711,109.14551754372542
712,117.41475581698718
713,114.58902272143142
714,120.31276055962411
715,111.11472010548775
716,113.42105510069597
717,114.5158178613111
718,113.46031819485833
719,107.29555013931063
720,109.27690802972616
721,105.76361688903053
722,108.72261884111829
723,112.87611807059803
724,107.00422442311061
725,107.02425092877597
726,109.9037121095928
727,107.03090850784959
728,113.02456325685161
729,105.35185870482155
730,106.83695570194416
731,107.71286113959783
732,103.04594055999856
733,107.08704794617606
734,109.68521992010369
735,107.97640653636167
736,101.30899090095109
737,104.47461330921958
738,104.4300999437985
739,102.52475563812844
740,105.98934773833273
741,101.02171139746756
742,104.72003945984763
743,108.26875126076045
744,103.07099623409157
745,103.40959587962546
746,105.84106334823527
747,99.15918002415884
748,98.64426731030794
749,98.67818959316581
750,97.44754028385478
751,101.02360399294771
752,103.40289356658337
753,105.20600485223963
754,107.83564570008596
755,103.18796003421981
756,101.24173944442252
757,100.64877105351165
758,101.43774866626127
759,103.10822188234204
760,104.60455644612007
761,107.2068281703332
762,99.95858522975466
763,99.84531138796166
764,100.4657919812418
765,101.10904017768534
766,101.83625931268493
767,99.19201010245912
768,96.3884634789993
769,97.07148931757072
770,101.75262699571304
771,99.06434741847414
772,100.03609808727293
773,103.3507170279058
774,102.60195136387887
775,100.95810575768901
776,101.03449238559077
777,101.44334598089982
778,98.67397197669389
779,94.89981463751349
780,95.67368949498511
781,94.98453412991515
782,95.00966501307784
783,99.57725648182912
784,98.97182644789241
785,95.03269811942587
786,101.93906851823134
787,101.84405846774355
788,97.78702687607726
789,95.48445871411347
790,95.8321785770176
791,94.03072270518037
792,99.56159811069436
793,98.13196715682012
794,95.552533042708
795,99.48728317212104
796,96.21959895838933
797,91.88032769317583
798,90.49024083299973
799,86.13925212549451
800,89.75506978504622
801,90.34731729958551
802,91.28003159666534
803,89.06732968726509
804,91.44141259538591
805,88.02065138112756
806,85.74128827079501
807,91.824870265178
808,86.49884793384525
809,89.32004978556323
810,88.10079611231427
811,85.05444790598318
812,86.98273642629907
813,85.85903488431421
814,87.68546502606918
815,90.38656286899905
816,92.89967138709368
817,94.74372519415869
818,89.62020832495153
819,89.8444790066924
820,88.79227621845035
821,92.5180146102055
822,97.13460987760341
823,92.4818019021045
824,88.99674060038413
825,88.6461732409092
826,88.5159061250242
827,96.19426621242383
828,91.34619379648993
829,90.45741518755173
830,93.83538192165497
831,94.79451300260875
832,89.77084614393239
833,89.42666631906748
834,86.45616521271874
835,90.47424859491919
836,89.73466159746549
837,85.69762105204605
838,87.00796724323416
839,85.8611314159294
840,84.89930506583548
841,88.3018901574336
842,92.48965211143292
843,90.73433314596981
844,83.84776501708453
845,87.1446342644851
846,89.91627912026469
847,82.79883219985314
848,83.70000044289871
849,86.86840857104876
850,86.9115959512681
851,91.80198237400046
852,83.27831174225867
853,84.1405004857142
854,83.0618496517046
855,82.50990748277219
856,87.26039785418469
857,90.0500186950596
858,96.89652842780038
859,87.92380189636991
860,89.96947410240546
861,89.44207766661185
862,82.2590755148444
863,82.71474820194341
864,81.504193814363
865,87.02016529825275
866,89.62531092754354
867,88.08145358952684
868,90.37368716608093
869,82.01363401094511
870,81.85741409777154
871,85.10967007557463
872,85.05601120109147
873,79.15258157367627
874,78.99913602402938
875,85.15966159124142
876,87.88352995100274
877,87.54672462378004
878,89.93153744724555
879,81.9287000968187
880,85.38585182357541
881,84.67094265359437
882,82.45207159103958
883,86.43957037988186
884,88.87687114366183
885,82.3527973293539
886,81.57280631816963
887,83.28265237968206
888,80.21407722763625
889,78.39612264526232
890,80.82175966070199
891,87.79846834472607
892,83.74268887367842
893,84.99086021136594
894,83.70427048405816
895,88.81712347509254
896,90.68677377370445
897,84.52320276638011
898,80.51572948691751
899,79.11463606536324
900,82.55840297134345
901,79.7775023511858
902,78.41423210472425
903,90.56037292145412
904,87.38705837112556
905,80.74177972435865
906,82.08481116176826
907,83.19582014749012
908,80.33736830885132
909,81.92448594694919
910,82.85208082534083
